0.01	1
0.03	1
0.04	1.1554
0.05	1.2976
0.06	1.4267
0.07	1.5458
0.08	1.6569
0.09	1.7616
0.1	1.8608
0.11	1.9554
0.12	2.0459
0.13	2.1329
0.14	2.1622
0.15	2.1623
0.16	2.1623
0.17	2.1624
0.18	2.1624
0.19	2.1625
0.2	2.1625
0.21	2.1626
0.22	2.1626
0.23	2.1627
0.24	2.1627
0.25	2.1628
0.26	2.1628
0.27	2.1628
0.28	2.1629
0.29	2.1629
0.3	2.1629
0.31	2.163
0.32	2.163
0.33	2.163
0.34	2.163
0.35	2.1631
0.36	2.1631
0.37	2.1631
0.38	2.1631
0.39	2.1632
0.4	2.1632
0.41	2.1632
0.42	2.1632
0.43	2.1633
0.44	2.1633
0.45	2.1465
0.46	2.0998
0.47	2.0551
0.48	2.0123
0.49	1.9712
0.5	1.9318
0.51	1.8939
0.52	1.8575
0.53	1.8225
0.54	1.7887
0.55	1.7562
0.56	1.7248
0.57	1.6946
0.58	1.6654
0.6	1.6098
0.62	1.5579
0.64	1.5092
0.66	1.4635
0.68	1.4204
0.7	1.3799
0.72	1.3415
0.74	1.3053
0.76	1.2709
0.78	1.2383
0.8	1.2074
0.82	1.1779
0.84	1.1499
0.86	1.1231
0.88	1.0976
0.9	1.0732
0.92	1.0499
0.94	1.0276
0.96	1.0061
0.98	0.9856
1	0.9659
1.05	0.9199
1.1	0.8781
1.15	0.8399
1.2	0.8049
1.25	0.7727
1.3	0.743
1.35	0.7155
1.4	0.6899
1.45	0.6661
1.5	0.6439
1.55	0.6232
1.6	0.6037
1.65	0.5854
1.7	0.5682
1.75	0.5519
1.8	0.5366
1.85	0.5221
1.9	0.5084
1.95	0.4953
2	0.483
2.05	0.4712
2.1	0.46
2.15	0.4493
2.2	0.439
2.25	0.4293
2.3	0.42
2.35	0.411
2.4	0.4025
2.5	0.3864
2.6	0.3715
2.7	0.3577
2.8	0.345
2.9	0.3331
3	0.3113
3.1	0.2916
3.2	0.2736
3.3	0.2573
3.4	0.2424
3.5	0.2287
3.6	0.2162
3.7	0.2047
3.8	0.194
3.9	0.1842
4	0.1751
4.1	0.1667
4.2	0.1588
4.3	0.1515
4.4	0.1447
4.5	0.1384
4.6	0.1324
4.7	0.1268
4.8	0.1216
4.9	0.1167
5	0.1121
5.1	0.1077
5.2	0.1036
5.4	0.0961
5.6	0.0893
5.8	0.0833
6	0.0778
6.2	0.0729
6.4	0.0684
6.6	0.0643
6.8	0.0606
7	0.0572
7.2	0.054
7.4	0.0512
7.6	0.0485
7.8	0.0461
8	0.0438
8.5	0.0388
9	0.0346
9.5	0.031
10	0.028
