0.01	0.24521874
0.02	0.27183748
0.022	0.27716123
0.025	0.28514685
0.029	0.29579434
0.03	0.29845622
0.032	0.30377996
0.035	0.31176559
0.036	0.31442746
0.04	0.32507496
0.042	0.3303987
0.044	0.33572245
0.045	0.33838432
0.046	0.3410462
0.048	0.34636995
0.05	0.35169369
0.055	0.36500306
0.06	0.37831243
0.065	0.3916218
0.067	0.39694555
0.07	0.40493117
0.075	0.41824054
0.08	0.43154991
0.085	0.44485928
0.09	0.45816865
0.095	0.47147802
0.1	0.48478739
0.11	0.51140613
0.12	0.53802487
0.13	0.5465
0.133	0.5465
0.14	0.5465
0.15	0.5465
0.16	0.5465
0.17	0.5465
0.18	0.5465
0.19	0.5465
0.2	0.5465
0.22	0.5465
0.24	0.5465
0.25	0.5465
0.26	0.5465
0.28	0.5465
0.29	0.5465
0.3	0.5465
0.32	0.5465
0.34	0.5465
0.35	0.5465
0.36	0.5465
0.38	0.5465
0.4	0.5465
0.42	0.5465
0.44	0.5465
0.45	0.5465
0.46	0.5465
0.48	0.5465
0.5	0.5465
0.55	0.5465
0.6	0.5465
0.65	0.51784615
0.667	0.50464768
0.7	0.48085714
0.75	0.4488
0.8	0.42075
0.85	0.396
0.9	0.374
0.95	0.35431579
1	0.3366
1.1	0.306
1.2	0.2805
1.3	0.25892308
1.4	0.24042857
1.5	0.2244
1.6	0.210375
1.7	0.198
1.8	0.187
1.9	0.17715789
2	0.1683
2.2	0.153
2.4	0.14025
2.5	0.13464
2.6	0.12946154
2.8	0.12021429
3	0.1122
3.2	0.1051875
3.4	0.099
3.5	0.09617143
3.6	0.0935
3.8	0.08857895
4	0.08415
4.2	0.08014286
4.4	0.0765
4.6	0.07317391
4.8	0.070125
5	0.06732
5.5	0.0612
6	0.0561
6.5	0.05178462
7	0.04808571
7.5	0.04488
8	0.042075
8.5	0.03727059
9	0.03324444
9.5	0.02983712
10	0.026928
11	0.02225455
12	0.0187
13	0.01593373
14	0.01373878
15	0.011968
20	0.006732
